,year,month,djia_monthly_mean,yearmonth_str
628,1949,05,716.99,1949-05
629,1949,06,703.62,1949-06
630,1949,07,737.05,1949-07
631,1949,08,747.47,1949-08
632,1949,09,758.49,1949-09
633,1949,10,784.63,1949-10
634,1949,11,811.02,1949-11
635,1949,12,822.58,1949-12
636,1950,01,819.55,1950-01
637,1950,02,840.86,1950-02
638,1950,03,851.58,1950-03
639,1950,04,875.22,1950-04
640,1950,05,873.37,1950-05
641,1950,06,888.58,1950-06
642,1950,07,894.71,1950-07
643,1950,08,907.56,1950-08
644,1950,09,908.65,1950-09
645,1950,10,870.87,1950-10
646,1950,11,896.3,1950-11
647,1950,12,939.44,1950-12
648,1951,01,951.95,1951-01
649,1951,02,974.76,1951-02
650,1951,03,968.19,1951-03
651,1951,04,933.57,1951-04
652,1951,05,900.13,1951-05
653,1951,06,888.51,1951-06
654,1951,07,828.51,1951-07
655,1951,08,781.65,1951-08
656,1951,09,802.44,1951-09
657,1951,10,803.77,1951-10
658,1951,11,848.89,1951-11
659,1951,12,856.37,1951-12
660,1952,01,883.8,1952-01
661,1952,02,870.48,1952-02
662,1952,03,906.76,1952-03
663,1952,04,916.8,1952-04
664,1952,05,889.06,1952-05
665,1952,06,883.97,1952-06
666,1952,07,873.04,1952-07
667,1952,08,838.13,1952-08
668,1952,09,902.0,1952-09
669,1952,10,902.38,1952-10
670,1952,11,893.68,1952-11
671,1952,12,933.36,1952-12
672,1953,01,966.85,1953-01
673,1953,02,942.72,1953-02
674,1953,03,927.96,1953-03
675,1953,04,922.74,1953-04
676,1953,05,945.8,1953-05
677,1953,06,864.75,1953-06
678,1953,07,822.83,1953-07
679,1953,08,824.97,1953-08
680,1953,09,838.86,1953-09
681,1953,10,789.67,1953-10
682,1953,11,761.73,1953-11
683,1953,12,780.93,1953-12
684,1954,01,709.14,1954-01
685,1954,02,695.39,1954-02
686,1954,03,724.09,1954-03
687,1954,04,761.42,1954-04
688,1954,05,764.31,1954-05
689,1954,06,810.39,1954-06
690,1954,07,862.11,1954-07
691,1954,08,895.89,1954-08
692,1954,09,934.81,1954-09
693,1954,10,905.27,1954-10
694,1954,11,877.46,1954-11
695,1954,12,898.61,1954-12
696,1955,01,866.82,1955-01
697,1955,02,835.75,1955-02
698,1955,03,899.46,1955-03
699,1955,04,924.08,1955-04
700,1955,05,951.27,1955-05
701,1955,06,948.18,1955-06
702,1955,07,932.61,1955-07
703,1955,08,956.34,1955-08
704,1955,09,943.37,1955-09
705,1955,10,992.88,1955-10
706,1955,11,1027.75,1955-11
707,1955,12,978.56,1955-12
708,1956,01,950.9,1956-01
709,1956,02,921.57,1956-02
710,1956,03,892.06,1956-03
711,1956,04,895.66,1956-04
712,1956,05,926.59,1956-05
713,1956,06,924.48,1956-06
714,1956,07,832.56,1956-07
715,1956,08,840.6,1956-08
716,1956,09,867.73,1956-09
717,1956,10,843.14,1956-10
718,1956,11,821.58,1956-11
719,1956,12,770.89,1956-12
720,1957,01,658.82,1957-01
721,1957,02,648.58,1957-02
722,1957,03,608.67,1957-03
723,1957,04,662.83,1957-04
724,1957,05,748.58,1957-05
725,1957,06,797.04,1957-06
726,1957,07,835.11,1957-07
727,1957,08,855.67,1957-08
728,1957,09,816.87,1957-09
729,1957,10,826.83,1957-10
730,1957,11,840.63,1957-11
731,1957,12,895.21,1957-12
732,1958,01,976.06,1958-01
733,1958,02,990.33,1958-02
734,1958,03,987.74,1958-03
735,1958,04,993.44,1958-04
736,1958,05,983.04,1958-05
737,1958,06,981.83,1958-06
738,1958,07,945.92,1958-07
739,1958,08,978.31,1958-08
740,1958,09,950.12,1958-09
741,1958,10,940.35,1958-10
742,1958,11,932.39,1958-11
743,1958,12,913.7,1958-12
744,1959,01,890.63,1959-01
745,1959,02,854.62,1959-02
746,1959,03,822.01,1959-03
747,1959,04,824.37,1959-04
748,1959,05,781.06,1959-05
749,1959,06,755.07,1959-06
750,1959,07,802.58,1959-07
751,1959,08,844.72,1959-08
752,1959,09,840.19,1959-09
753,1959,10,887.78,1959-10
754,1959,11,856.48,1959-11
755,1959,12,805.87,1959-12
756,1960,01,828.57,1960-01
757,1960,02,828.58,1960-02
758,1960,03,863.23,1960-03
759,1960,04,836.26,1960-04
760,1960,05,838.63,1960-05
761,1960,06,869.9,1960-06
762,1960,07,866.52,1960-07
763,1960,08,815.66,1960-08
764,1960,09,843.43,1960-09
765,1960,10,876.08,1960-10
766,1960,11,792.4,1960-11
767,1960,12,816.03,1960-12
768,1961,01,876.69,1961-01
769,1961,02,938.55,1961-02
770,1961,03,947.52,1961-03
